r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p200,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_2p000
188.53017453008994,573285.3929608684,609601.7268960082,629494.9345881462,642710.155067565,648873.0438675748
195.18761178117455,540830.871917733,574767.7102501463,593393.5293820956,605947.5639436016,612408.2326841918
202.08013856560632,509950.9498414285,541639.6831922848,559053.45598149,570932.3872962437,577534.6238402235
209.21605643946523,480581.4725757733,510148.18205929303,526406.2633243481,537606.7833456396,544224.8269316052
216.6039601060097,452660.39374707127,480225.71441022906,495384.50238050363,505911.20396794204,512444.30316000315
224.25274776738243,426133.88985449955,451813.6971197793,465929.79820568825,475794.8612632023,482166.4636795353
232.1716318418592,400947.9319012422,424853.1402938118,437982.5390865416,447203.4388249452,453355.87309442903
240.3701500595486,377047.0175059852,399283.5198377148,411481.0487180538,420079.09940557723,425970.03506794287
248.85817694990632,354374.3868609524,375042.88046943484,386361.7903397435,394360.9147441755,399960.3168317083
257.64593573490066,332880.4867100705,352076.9908638782,362568.99416685855,369995.20523272175,375283.7235438769
266.74401064215283,312518.45370481064,330334.5308500155,340049.78764399677,346930.7931156207,351898.48638198106
276.1633596528827,293239.8309293665,309762.4564761267,318749.16230792523,325113.2561316374,329756.67481333856
285.9153277000154,274995.8720632528,290307.51706978655,298611.8294427293,304487.5253071472,308808.58298027545
296.0116603323408,257739.80431737856,271918.54267699673,279584.5063584706,285000.07263716176,289004.59169859247
306.4645178611891,241430.19081532196,254550.13402653168,261619.87719982132,266603.3751217129,270300.8178278721
317.28649000665666,226025.62981826477,238156.94216544103,244670.5680769451,249249.43808758573,252651.64976284697
328.4906110610244,211484.14570345372,222693.1149557323,228688.6461554301,232889.4651020147,236009.90559917994
340.0903755876317,197763.68077264688,208112.75998468776,213626.13954388796,217474.46447530802,220327.60492062854
352.0997546741137,184826.85640847785,194374.99930663506,199440.2300728056,202960.5961524259,205561.61403434622
364.5332127595783,172638.24994022946,181441.09877988568,186090.33729566506,189306.2603823356,191670.8251322354
377.40572505598976,161161.66955133167,169271.57045954926,173535.08180594776,176468.8878651212,178612.61606185295
390.73279558474127,150361.33325629035,157827.46303317687,161733.68263748026,164406.50711788776,166344.80304460792
404.53047585014156,140203.14200312347,147071.64394731855,150647.2484122189,153079.0274681988,154826.8738529836
418.81538417230456,130656.3712057911,136970.6184233406,140240.6654348008,142450.22405009126,144022.19484470965
433.60472570272856,121690.59467662379,127491.26124307555,130479.22126725061,132484.24669042428,133894.32178161273
448.9163131466735,113275.47441530584,118600.63342448622,121328.43089767468,123145.4764993807,124406.95347749352
464.76858821728956,105381.17107093173,110266.38837549799,112754.47228476539,114398.99690446667,115524.45328450938
481.18064384734447,97980.80122542042,102459.33850701404,104726.78625542871,106213.21534320735,107214.50776995232
498.1722471852967,91048.89731727517,95151.85015453608,97216.452477877,98558.23697097937,99446.51987518948
515.7638634034136,84559.86830573868,88316.2255427317,90194.51732221688,91404.14175586893,92189.81691992148
533.976680346609,78488.82753960554,81925.58414082599,83632.91446597766,84721.94921561341,85414.69289953975
552.832634051689,72812.21145301998,75954.47937517743,77505.08197962,78484.23235548858,79093.01091353741
572.3544351677408,67508.54859240205,70379.71142147682,71786.79145740214,72665.96260252138,73199.08070774871
592.5655963094872,62556.82497533185,65178.61193523511,66454.39352937447,67242.7238462532,67707.83405321748
613.490460376551,57936.44330955876,60329.014745155924,61484.790192379136,62190.68932173131,62594.8178431384
635.1542298727387,53627.47237952551,55809.504567314856,56855.69556475473,57486.895357625544,57836.4827711004
657.5829972606555,49611.79238050669,51600.595275739775,52546.81643426215,53110.41648259165,53411.34943917385
680.8037763882124,45872.29829354075,47683.90758293929,48539.024231906435,49041.538389331996,49299.189331080925
704.8445350248754,42392.103109081785,44041.33915896585,44813.50446570227,45260.891188883266,45480.142269654425
729.7342285468485,39155.025205491365,40655.57320744048,41352.27841314541,41749.982209102134,41935.263259835745
755.5028348117513,36145.836597041816,37510.32161227732,38138.44329971475,38491.43244698903,38646.75280004761
782.1813902648097,33350.59160382794,34590.665985187916,35156.51559871598,35469.32023019958,35598.301685233266
809.8020273200361,30755.80336957128,31882.202682335213,32391.56257675006,32668.304539837616,32774.20834919918
838.3980130614264,28348.468126663167,29371.070742380787,29829.229753952906,30073.652082023254,30159.407098877004
868.0037893107856,26116.1723387744,27044.057662567626,27455.85031561557,27671.350427691807,27739.584863727858
898.6550141104419,24047.581708449194,24889.095005489122,25258.93661991975,25448.592107069333,25501.654530432104
930.3886046708112,22132.051281965363,22894.858839649394,23226.779349271073,23393.375341427836,23433.360134919287
963.2427818345391,20359.24968309748,21050.381084252986,21348.051488331996,21494.103091261324,21522.872545886945
997.2571161107753,18719.399978876343,19345.296551009214,19612.05835008737,19739.834583571836,19759.041614357746
