r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_0p050,rho_sidm_tier1_sigma_0p100,rho_sidm_tier1_sigma_0p200,rho_sidm_tier1_sigma_0p300,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_0p050,rho_sidm_tier2_sigma_0p100,rho_sidm_tier2_sigma_0p200,rho_sidm_tier2_sigma_0p300,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_0p050,rho_sidm_tier3_sigma_0p100,rho_sidm_tier3_sigma_0p200,rho_sidm_tier3_sigma_0p300
3728.3752060239094,679.2511222846246,678.1029822142334,677.061844629109,675.2458465535502,673.7151623562686,120.69950545809898,120.65438781615444,120.6134249227449,120.54186131150594,120.4814278527509,120.69950545809898,120.99382499836084,121.27261412480361,121.78708211420512,122.2498213247808
3860.032772482282,617.0259564230682,616.0179076082663,615.1037278799521,613.5089989470529,612.1646457250223,107.16644693787802,107.12951059365739,107.0959734284157,107.03737785175636,106.98789060973273,107.16644693787802,107.41486684281033,107.65013891615246,108.08426198168316,108.47475122994705
3996.33947263775,558.4283380740517,557.5453362741526,556.744495334558,555.3473331695162,554.1693844089335,95.38990063994912,95.35950960737051,95.33191372795662,95.28369484558793,95.24296751793932,95.38990063994912,95.5966822356056,95.79255534509782,96.15410252446831,96.47947794708746
4137.4594781723135,502.36398508454135,501.59349212200567,500.8946397349875,499.675291008215,498.64714057097547,84.66743281812202,84.64234969775916,84.61957228328188,84.57976992606714,84.54614862904914,84.66743281812202,84.83736507879685,84.99841010430377,85.2958821765235,85.56383991576054
4283.562758050417,445.60245079987567,444.9362475765244,444.33194931978096,443.27748916900254,442.3882849335691,74.43293976795513,74.4122354600189,74.39343341920085,74.3605757057147,74.33281849550487,74.43293976795513,74.57085794685268,74.70165310411785,74.94348275579561,75.1615792480514
4434.825283234428,395.81433431521384,395.2380618030442,394.7153045550985,393.80305244700025,393.03369455904243,65.67378041533667,65.6566199008676,65.64103533826041,65.61379872170441,65.59078841829749,65.67378041533667,65.78455357751821,65.88970555453027,66.08437479248362,66.26021322960098
4591.429238629079,352.3747450261083,351.8757353872339,351.42303747502604,350.63297925203165,349.96661053466823,58.20791287341284,58.19362942889468,58.180657154046415,58.15798465720868,58.13882898186197,58.20791287341284,58.296038225603496,58.37979288889083,58.535100201410934,58.67565371715423
4753.563242510191,309.0866823223489,308.6591399829189,308.2712554439806,307.59426249904215,307.0232099548116,50.775218303313395,50.76338915362753,50.75264547398912,50.733867116399146,50.71800063030189,50.775218303313395,50.84462445798161,50.91067760210198,51.0333804512814,51.14466050595488
4921.422573701883,269.44703401815116,269.08250787206197,268.751777389615,268.17449953077687,267.687519858783,44.237319041787345,44.22751604971315,44.218612292952685,44.20304913963001,44.18989858976608,44.237319041787345,44.29145538078365,44.34305443556505,44.43909746419565,44.52640082892511
5095.209406775984,236.17383338987784,235.86204277846875,235.57914372510783,235.08531981026348,234.66870647385002,38.72923096356454,38.721080952810695,38.713678301031244,38.70073841093658,38.689803905659915,38.72923096356454,38.771186880527225,38.811246931652015,38.88598354881253,38.954099546553266
