r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_3p000,rho_sidm_sigma_10p000
18.172481103893613,130401.81209800401,111695.90021899847,104060.45932602757,94204.45484230662,88746.44288066428
18.886462801822905,119654.37433164906,102990.46950311118,96146.53040420394,87276.26087232174,82346.59861190211
19.628496248000772,109740.73600733744,94905.18071836903,88775.51542449943,80799.31596601904,76350.99647748502
20.399683572330616,100600.96607924975,87401.31629241214,81915.64699984188,74749.55884586452,70739.28102794578
21.20117020648495,92179.01872004678,80442.08229367614,75536.5401698947,69103.78062559618,65491.7238351914
22.034146585195902,84422.75708331271,73992.82288066404,69609.40578518885,63839.79815811289,60589.36357832999
22.899849914387996,77283.25457505928,68020.3958115268,64106.490132167746,58935.98951811364,56013.59649024742
23.799566008779642,70714.81904905608,62493.38314311266,59001.318073654475,54371.556301974684,51746.44151410026
24.734631201682117,64674.95926841545,57382.22393721844,54268.84238263422,50126.66322763429,47770.663290810706
25.70643432983329,59123.984369829115,52658.88011710012,49885.153133496264,46182.21164235194,44069.58279599747
26.716418796213624,54024.98334712027,48296.961103161695,45827.629804087635,42520.008878456785,40627.24984459579
27.76608471390847,49343.449162621655,44271.43851987766,42074.67766414568,39122.52202607772,37428.20224631261
28.85699113420118,45047.41435658245,40558.8875159986,38606.000366230975,35973.18148580553,34457.7818576791
29.99075836220579,41107.20011100943,37137.32552642721,35402.461121184795,33056.262896776694,31702.025320817447
31.16907036347935,37495.02983021971,33985.87927704012,32445.770230198996,30356.599691480616,29147.389601762658
32.39367726518784,34185.27457625086,31085.132384434197,29718.857294686444,27859.974168314024,26781.1476648987
33.66639795554073,31154.151382097174,28416.88829945176,27205.652569558104,25552.917494325935,24591.19701054428
34.98912278535556,28379.536896463105,25964.025012509574,24890.959175993445,23422.60454218504,22565.966741233748
36.3638163757642,25840.942035617165,23710.53298695609,22760.508247832706,21456.92498132725,20694.49477508086
37.79252053623211,23519.446700316254,21641.521533729534,20800.984057517067,19644.524098884707,18966.473529455685
39.277357297223766,21397.504929903505,19743.041373371077,18999.85799941914,17974.65494417059,17372.113561217266
40.820532062019026,19458.877250510443,18002.064876999386,17345.381576049473,16437.182547999797,15902.151731511449
42.42433688236211,17688.552726529433,16406.46295114076,15826.58098540612,15022.597139392296,14547.872672797861
44.09115386280753,16072.70653325417,14944.981066678987,14433.240639367621,13722.007282424682,13301.107170703148
45.82345869882049,14598.55242717727,13607.12351196578,13155.797167002533,12527.043882656371,12154.140570059264
47.62382435388603,13254.24232655949,12383.086925770405,11985.286100170215,11429.823093636915,11099.684242693893
49.4949248810886,12028.939779493936,11263.859582696898,10913.448895779129,10423.060746862793,10130.992805280237
51.43953939483883,10912.62618326013,10241.0465099661,9932.564832294414,9499.912226520679,9241.708079090524
53.460556198645484,9896.023502947985,9306.812070611697,9035.402124430842,8653.934960931852,8425.82804267699
55.560977075064784,8970.674345010719,8453.985094518976,8215.330842980487,7879.209027280661,7677.830456273756
57.74392174419788,8128.750073631068,7675.879264812825,7466.147987208242,7170.167987796118,6992.506767733566
60.01263249735889,7363.058476503884,6966.316224137552,6782.1071184516195,6521.637110853056,6365.005142449382
62.37047901279654,6667.009480058501,6319.604918010362,6157.902314321543,5928.8223606853135,5790.8217727206375
