M200,m200_msun,z,c200,weight
110481151568930.12,110481151568930.12,0.1,2.924329248203709,0.0025
114547592305974.22,114547592305974.22,0.1,5.525308528231703,0.0025
204809617023335.75,204809617023335.75,0.1,1.8734977333406215,0.0025
238367944500581.75,238367944500581.75,0.1,1.5292884083352296,0.0025
106283651528638.28,106283651528638.28,0.1,3.319992729831787,0.0025
204199697450821.06,204199697450821.06,0.1,4.772888679858438,0.0025
103127897685163.16,103127897685163.16,0.1,2.0475757178987313,0.0025
190785452975607.7,190785452975607.7,0.1,3.730936407585484,0.0025
147530886639636.53,147530886639636.53,0.1,2.5897407224859585,0.0025
468657614998820.25,468657614998820.25,0.1,3.3952338116493976,0.0025
285076302105110.8,285076302105110.8,0.1,5.901531585400721,0.0025
342984044077241.6,342984044077241.6,0.1,2.1891950423314963,0.0025
299968622118384.94,299968622118384.94,0.1,3.0920104254856686,0.0025
259489553188052.3,259489553188052.3,0.1,5.727589808862769,0.0025
223078424296149.4,223078424296149.4,0.1,4.361304780467852,0.0025
251823940093420.9,251823940093420.9,0.1,3.4558095411407477,0.0025
144622202071442.6,144622202071442.6,0.1,2.6271935722911834,0.0025
342417826630090.06,342417826630090.06,0.1,3.9989738856189128,0.0025
165693305997795.66,165693305997795.66,0.1,3.9276961750280623,0.0025
117219397434863.89,117219397434863.89,0.1,2.613985480081058,0.0025
595952119634371.2,595952119634371.2,0.1,5.232543561678378,0.0025
253337578018942.25,253337578018942.25,0.1,3.019632091682716,0.0025
520071763904451.1,520071763904451.1,0.1,5.1123591326073825,0.0025
500358320281385.2,500358320281385.2,0.1,2.572463118507924,0.0025
505091325903258.56,505091325903258.56,0.1,6.380505715223287,0.0025
115767225028293.02,115767225028293.02,0.1,4.218389335029305,0.0025
853039718020095.5,853039718020095.5,0.1,3.3079691788140813,0.0025
571191523287471.5,571191523287471.5,0.1,3.61891803025588,0.0025
135874094354413.08,135874094354413.08,0.1,3.0103188149515914,0.0025
134814397616757.28,134814397616757.28,0.1,2.4477618464753954,0.0025
248371081686628.75,248371081686628.75,0.1,4.545125619402823,0.0025
373455306761251.7,373455306761251.7,0.1,3.423230167425848,0.0025
183380540935545.53,183380540935545.53,0.1,1.6879059840535129,0.0025
205450941016272.94,205450941016272.94,0.1,3.3865460398033216,0.0025
184602919343237.72,184602919343237.72,0.1,3.2513072785885964,0.0025
211340099282723.5,211340099282723.5,0.1,5.971872320303005,0.0025
349032594619439.5,349032594619439.5,0.1,3.564178167407515,0.0025
221476084246099.1,221476084246099.1,0.1,3.2010702065115395,0.0025
106517702013260.08,106517702013260.08,0.1,4.270507799541313,0.0025
235747898086189.66,235747898086189.66,0.1,9.79046802780361,0.0025
924759189131440.6,924759189131440.6,0.1,1.6809770848013263,0.0025
151789528390573.75,151789528390573.75,0.1,3.819454290195197,0.0025
121302851317318.03,121302851317318.03,0.1,4.765610139557275,0.0025
591588014940242.5,591588014940242.5,0.1,5.5908021935603625,0.0025
139882663528885.88,139882663528885.88,0.1,5.681007810976963,0.0025
180130317967631.84,180130317967631.84,0.1,4.147462282265853,0.0025
232880163040637.03,232880163040637.03,0.1,3.3828712140233135,0.0025
128303018222368.89,128303018222368.89,0.1,5.742138710283224,0.0025
141389768406213.88,141389768406213.88,0.1,2.0982517564773464,0.0025
309583435928362.75,309583435928362.75,0.1,2.532540621915716,0.0025
267893899420428.84,267893899420428.84,0.1,3.327752840730603,0.0025
916063243619430.8,916063243619430.8,0.1,5.844652070492492,0.0025
472371247194842.8,472371247194842.8,0.1,3.35055543899915,0.0025
378460250759969.8,378460250759969.8,0.1,3.151575925989479,0.0025
198816287682213.1,198816287682213.1,0.1,4.788889367406938,0.0025
420030958492457.7,420030958492457.7,0.1,3.5093824767879416,0.0025
621884254939540.9,621884254939540.9,0.1,3.850340116914095,0.0025
146429637004732.28,146429637004732.28,0.1,1.9602058199063983,0.0025
200420312939649.8,200420312939649.8,0.1,3.3559825848701768,0.0025
179657390285791.88,179657390285791.88,0.1,3.0125813012806577,0.0025
107805594127593.72,107805594127593.72,0.1,5.115700946131921,0.0025
484756233004716.2,484756233004716.2,0.1,2.75045537810282,0.0025
263879470843670.97,263879470843670.97,0.1,7.2960237050554095,0.0025
154445855769238.28,154445855769238.28,0.1,4.525840399268048,0.0025
112749873573010.75,112749873573010.75,0.1,2.827190886404006,0.0025
115792392710182.17,115792392710182.17,0.1,2.806158997411121,0.0025
100146017916573.17,100146017916573.17,0.1,7.761000225980464,0.0025
366703388991558.5,366703388991558.5,0.1,1.771505445710191,0.0025
134375323190038.34,134375323190038.34,0.1,2.4322630287407647,0.0025
327051838718863.94,327051838718863.94,0.1,4.440164278277708,0.0025
210127315286795.66,210127315286795.66,0.1,7.318775091526019,0.0025
153475900439230.78,153475900439230.78,0.1,5.63249433241028,0.0025
537585228406436.06,537585228406436.06,0.1,3.9094927045129264,0.0025
174365175922413.06,174365175922413.06,0.1,3.0998891161777684,0.0025
346866777721820.9,346866777721820.9,0.1,2.713420834936625,0.0025
220147053707306.2,220147053707306.2,0.1,3.029590852892019,0.0025
125798144099029.98,125798144099029.98,0.1,2.834067994362303,0.0025
562048306176424.7,562048306176424.7,0.1,3.0282086844611604,0.0025
212833192615220.03,212833192615220.03,0.1,2.9220013476284645,0.0025
102243567565737.3,102243567565737.3,0.1,3.586323134134793,0.0025
191520484598663.47,191520484598663.47,0.1,2.7529163048992573,0.0025
113268038088383.6,113268038088383.6,0.1,9.156583775641998,0.0025
139150418783719.1,139150418783719.1,0.1,4.317723118824395,0.0025
162932301878309.66,162932301878309.66,0.1,3.78338964054271,0.0025
